Name,Start date,Start time,End date,End Time,Description,URL,Latitude,Longitude
Cambridge Raspberry Jam,2026-02-28,10:00:00,2026-02-28,17:00:00,"Raspberry Pi birthday celebration at Makespace Cambridge, in the heart of the city",https://camjam.me/,52.1974,0.1217
BeetleBrawl,2026-02-28,10:00:00,2026-02-28,17:00:00,Robot combat event at Bristol Bot Builders,https://bristolbotbuilders.com/brawl/,51.4545,-2.5879
SMRRF,2026-03-07,10:00:00,2026-03-08,17:00:00,Sanjay Mortimer RepRap Festival - UK's largest 3D printing event,https://www.eventbrite.co.uk/e/smrrf-2026-the-uks-largest-3d-printing-festival-tickets-1371179407519,53.4808,-2.2426
Hacky Racers Robotic Racing Series,2026-04-18,10:00:00,2026-04-19,17:00:00,Robotic racing event - always entertaining!,https://hackyracers.co.uk/robotic-racing-series/,52.0383,0.7289
OggCamp 2026,2026-04-25,10:00:00,2026-04-26,16:00:00,"An unconference celebrating Free Culture, Free and Open Source Software, hardware hacking, digital rights, and all manner of collaborative cultural activities.",https://oggcamp.org/,53.473704,-2.235417
Wirral MakeFest 2026,2026-04-25,10:00:00,2026-04-25,17:00:00,"A showcase of imagination and skill, featuring hands-on activities, robotics, traditional crafts, and repair demonstrations",https://wirralmakefest.org/,53.3932,-3.0142
Makers Central,2026-05-16,10:00:00,2026-05-17,17:30:00,"A fun family event for creators, makers and hobbyists!",https://www.makerscentral.co.uk/,52.4512,-1.7212
Retrofest,2026-05-30,10:00:00,2026-05-31,17:00:00,Retro computing and gaming festival,https://www.retrofest.uk/,51.5558,-1.7797
Hardware Pioneers Max,2026-06-10,10:00:00,2026-06-11,17:00:00,"Big commercial exhibition for electronics, IoT connectivity, and embedded systems.",https://www.hardwarepioneers.com/,51.5090,0.0387
HackWimbledon June 2026 #1,2026-06-14,12:00:00,2026-06-14,16:00:00,"Come along to Wimbletech for more making, coding, and chat.",https://luma.com/imhuuoq5,51.4213,-0.2060
RCM Awesome World Famous Legendary Gathering,2026-06-20,10:00:00,2026-06-20,17:00:00,Retro Computer Museum's gathering of retro computing enthusiasts,https://retrocomputermuseum.co.uk/events/legendary-gathering-20-06-26/?occurrence=2026-06-20,52.6369,-1.1398
HackWimbledon June 2026 #2,2026-06-28,12:00:00,2026-06-28,16:00:00,"Come along to Wimbletech for more making, coding, and chat.",https://luma.com/so809jxi,51.4213,-0.2060
HackWimbledon July 2026 #1,2026-07-12,12:00:00,2026-07-12,16:00:00,"Come along to Wimbletech for more making, coding, and chat.",https://luma.com/2kv486ai,51.4213,-0.2060
Electromagnetic Field 2026,2026-07-16,10:00:00,2026-07-19,20:00:00,"Electromagnetic Field is a non-profit camping festival for those with an inquisitive mind or an interest in making things: hackers, artists, geeks, crafters, scientists, and engineers.",https://www.emfcamp.org/,52.041100,-2.378400
HackWimbledon July 2026 #2,2026-07-26,12:00:00,2026-07-26,16:00:00,"Come along to Wimbletech for more making, coding, and chat.",https://luma.com/mwyx1np1,51.4213,-0.2060
Open Source Hardware Camp (OSHCamp),2026-08-29,09:00:00,2026-08-30,17:00:00,A weekend event for open source hardware enthusiasts,https://lists.oshug.org/hyperkitty/list/oshug@oshug.org/thread/EGIO6P7OG2BETP7B3EZCODPNDQDQUBIX/,53.7432,-2.0107
Vintage Computer Festival (VCF) GB,2026-09-11,10:00:00,2026-09-13,17:00:00,Retro computing festival,https://www.vintagecomputerfestival.org.uk/event/vintage-computer-festival-gb-2026/,53.4771,-2.9432
